가,ㄱㅏᴥ
언니,ㅇㅓㄴᴥㄴㅣᴥ
언어,ㅇㅓㄴᴥㅇㅓᴥ
언제,ㅇㅓㄴᴥㅈㅔᴥ
언젠가,ㅇㅓㄴᴥㅈㅔㄴᴥㄱㅏᴥ
얼마,ㅇㅓㄹᴥㅁㅏᴥ
얼마간,ㅇㅓㄹᴥㅁㅏᴥㄱㅏㄴᴥ
얼마나,ㅇㅓㄹᴥㅁㅏᴥㄴㅏᴥ
얼마든지,ㅇㅓㄹᴥㅁㅏᴥㄷㅡㄴᴥㅈㅣᴥ
얼마만큼,ㅇㅓㄹᴥㅁㅏᴥㅁㅏㄴᴥㅋㅡㅁᴥ
얼마큼,ㅇㅓㄹᴥㅁㅏᴥㅋㅡㅁᴥ
엄마,ㅇㅓㅁᴥㅁㅏᴥ
업계,ㅇㅓㅂᴥㄱㅖᴥ
업로드,ㅇㅓㅂᴥㄹㅗᴥㄷㅡᴥ
업자,ㅇㅓㅂᴥㅈㅏᴥ
업장,ㅇㅓㅂᴥㅈㅏㅇᴥ
업체,ㅇㅓㅂᴥㅊㅔᴥ
없,ㅇㅓㅄᴥ
없고,ㅇㅓㅄᴥㄱㅗᴥ
엉엉,ㅇㅓㅇᴥㅇㅓㅇᴥ
에,ㅇㅔᴥ
에 가서,ㅇㅔᴥ ㄱㅏᴥㅅㅓᴥ
에게,ㅇㅔᴥㄱㅔᴥ
에서,ㅇㅔᴥㅅㅓᴥ
여,ㅇㅕᴥ
여기,ㅇㅕᴥㄱㅣᴥ
여덟,ㅇㅕᴥㄷㅓㄼᴥ
여러분,ㅇㅕᴥㄹㅓᴥㅂㅜㄴᴥ
여보시오,ㅇㅕᴥㅂㅗᴥㅅㅣᴥㅇㅗᴥ
여부,ㅇㅕᴥㅂㅜᴥ
여섯,ㅇㅕᴥㅅㅓㅅᴥ
여성,ㅇㅕᴥㅅㅓㅇᴥ
여인,ㅇㅕᴥㅇㅣㄴᴥ
여자,ㅇㅕᴥㅈㅏᴥ
여전히,ㅇㅕᴥㅈㅓㄴᴥㅎㅣᴥ
여차,ㅇㅕᴥㅊㅏᴥ
여편네,ㅇㅕᴥㅍㅕㄴᴥㄴㅔᴥ
여행,ㅇㅕᴥㅎㅐㅇᴥ
역,ㅇㅕㄱᴥ
역할,ㅇㅕㄱᴥㅎㅏㄹᴥ
연간,ㅇㅕㄴᴥㄱㅏㄴᴥ
연결,ㅇㅕㄴᴥㄱㅕㄹᴥ
연구,ㅇㅕㄴᴥㄱㅜᴥ
연산,ㅇㅕㄴᴥㅅㅏㄴᴥ
연속,ㅇㅕㄴᴥㅅㅗㄱᴥ
연쇄,ㅇㅕㄴᴥㅅㅙᴥ
연이서,ㅇㅕㄴᴥㅇㅣᴥㅅㅓᴥ
연장,ㅇㅕㄴᴥㅈㅏㅇᴥ
열,ㅇㅕㄹᴥ
열기,ㅇㅕㄹᴥㄱㅣᴥ
엽,ㅇㅕㅂᴥ
영,ㅇㅕㅇᴥ
영구,ㅇㅕㅇᴥㄱㅜᴥ
영역,ㅇㅕㅇᴥㅇㅕㄱᴥ
영차,ㅇㅕㅇᴥㅊㅏᴥ
영향,ㅇㅕㅇᴥㅎㅑㅇᴥ
옆사람,ㅇㅕㅍᴥㅅㅏᴥㄹㅏㅁᴥ
예,ㅇㅖᴥ
예상,ㅇㅖᴥㅅㅏㅇᴥ
예시,ㅇㅖᴥㅅㅣᴥ
예외,ㅇㅖᴥㅇㅚᴥ
예전,ㅇㅖᴥㅈㅓㄴᴥ
예컨대,ㅇㅖᴥㅋㅓㄴᴥㄷㅐᴥ
예하면,ㅇㅖᴥㅎㅏᴥㅁㅕㄴᴥ
옛,ㅇㅖㅅᴥ
옛날,ㅇㅖㅅᴥㄴㅏㄹᴥ
오,ㅇㅗᴥ
오늘,ㅇㅗᴥㄴㅡㄹᴥ
오늘날,ㅇㅗᴥㄴㅡㄹᴥㄴㅏㄹᴥ
오라버니,ㅇㅗᴥㄹㅏᴥㅂㅓᴥㄴㅣᴥ
오르다,ㅇㅗᴥㄹㅡᴥㄷㅏᴥ
오른쪽,ㅇㅗᴥㄹㅡㄴᴥㅉㅗㄱᴥ
오빠,ㅇㅗᴥㅃㅏᴥ
오전,ㅇㅗᴥㅈㅓㄴᴥ
오픈,ㅇㅗᴥㅍㅡㄴᴥ
오호,ㅇㅗᴥㅎㅗᴥ
오후,ㅇㅗᴥㅎㅜᴥ
온점,ㅇㅗㄴᴥㅈㅓㅁᴥ
옷,ㅇㅗㅅᴥ
옹호,ㅇㅗㅇᴥㅎㅗᴥ
와,ㅇㅘᴥ
와르르,ㅇㅘᴥㄹㅡᴥㄹㅡᴥ
와의,ㅇㅘᴥㅇㅢᴥ
완료,ㅇㅘㄴᴥㄹㅛᴥ
완만,ㅇㅘㄴᴥㅁㅏㄴᴥ
완벽,ㅇㅘㄴᴥㅂㅕㄱᴥ
완성,ㅇㅘㄴᴥㅅㅓㅇᴥ
완수,ㅇㅘㄴᴥㅅㅜᴥ
완화,ㅇㅘㄴᴥㅎㅘᴥ
왜,ㅇㅙᴥ
외국,ㅇㅚᴥㄱㅜㄱᴥ
외부,ㅇㅚᴥㅂㅜᴥ
외에도,ㅇㅚᴥㅇㅔᴥㄷㅗᴥ
왼쪽,ㅇㅚㄴᴥㅉㅗㄱᴥ
요구,ㅇㅛᴥㄱㅜᴥ
요리조리,ㅇㅛᴥㄹㅣᴥㅈㅗᴥㄹㅣᴥ
요만한걸,ㅇㅛᴥㅁㅏㄴᴥㅎㅏㄴᴥㄱㅓㄹᴥ
요소,ㅇㅛᴥㅅㅗᴥ
요약,ㅇㅛᴥㅇㅑㄱᴥ
요원,ㅇㅛᴥㅇㅝㄴᴥ
요인,ㅇㅛᴥㅇㅣㄴᴥ
요일,ㅇㅛᴥㅇㅣㄹᴥ
요컨대,ㅇㅛᴥㅋㅓㄴᴥㄷㅐᴥ
용도,ㅇㅛㅇᴥㄷㅗᴥ
용어,ㅇㅛㅇᴥㅇㅓᴥ
용이,ㅇㅛㅇᴥㅇㅣᴥ
용인,ㅇㅛㅇᴥㅇㅣㄴᴥ
용품,ㅇㅛㅇᴥㅍㅜㅁᴥ
우,ㅇㅜᴥ
우르르,ㅇㅜᴥㄹㅡᴥㄹㅡᴥ
우리,ㅇㅜᴥㄹㅣᴥ
우선,ㅇㅜᴥㅅㅓㄴᴥ
우수,ㅇㅜᴥㅅㅜᴥ
우위,ㅇㅜᴥㅇㅟᴥ
운동,ㅇㅜㄴᴥㄷㅗㅇᴥ
운영,ㅇㅜㄴᴥㅇㅕㅇᴥ
운운,ㅇㅜㄴᴥㅇㅜㄴᴥ
원,ㅇㅝㄴᴥ
원래,ㅇㅝㄴᴥㄹㅐᴥ
원리,ㅇㅝㄴᴥㄹㅣᴥ
원본,ㅇㅝㄴᴥㅂㅗㄴᴥ
원인,ㅇㅝㄴᴥㅇㅣㄴᴥ
원자,ㅇㅝㄴᴥㅈㅏᴥ
원활,ㅇㅝㄴᴥㅎㅘㄹᴥ
월,ㅇㅝㄹᴥ
위,ㅇㅟᴥ
위에서,ㅇㅟᴥㅇㅔᴥㅅㅓᴥ
위치,ㅇㅟᴥㅊㅣᴥ
위하,ㅇㅟᴥㅎㅏᴥ
위하여,ㅇㅟᴥㅎㅏᴥㅇㅕᴥ
위해서,ㅇㅟᴥㅎㅐᴥㅅㅓᴥ
위협,ㅇㅟᴥㅎㅕㅂᴥ
윙윙,ㅇㅟㅇᴥㅇㅟㅇᴥ
유,ㅇㅠᴥ
유료,ㅇㅠᴥㄹㅛᴥ
유리,ㅇㅠᴥㄹㅣᴥ
유용,ㅇㅠᴥㅇㅛㅇᴥ
유일,ㅇㅠᴥㅇㅣㄹᴥ
유전,ㅇㅠᴥㅈㅓㄴᴥ
유지,ㅇㅠᴥㅈㅣᴥ
유추,ㅇㅠᴥㅊㅜᴥ
유치원,ㅇㅠᴥㅊㅣᴥㅇㅝㄴᴥ
유형,ㅇㅠᴥㅎㅕㅇᴥ
유효,ㅇㅠᴥㅎㅛᴥ
육,ㅇㅠㄱᴥ
육신,ㅇㅠㄱᴥㅅㅣㄴᴥ
육안,ㅇㅠㄱᴥㅇㅏㄴᴥ
윤,ㅇㅠㄴᴥ
으로,ㅇㅡᴥㄹㅗᴥ
으로써,ㅇㅡᴥㄹㅗᴥㅆㅓᴥ
은,ㅇㅡㄴᴥ
을,ㅇㅡㄹᴥ
을 ,ㅇㅡㄹᴥ 
음식,ㅇㅡㅁᴥㅅㅣㄱᴥ
응,ㅇㅡㅇᴥ
응답,ㅇㅡㅇᴥㄷㅏㅂᴥ
응당,ㅇㅡㅇᴥㄷㅏㅇᴥ
응용,ㅇㅡㅇᴥㅇㅛㅇᴥ
의,ㅇㅢᴥ
의거하여,ㅇㅢᴥㄱㅓᴥㅎㅏᴥㅇㅕᴥ
의도,ㅇㅢᴥㄷㅗᴥ
의문,ㅇㅢᴥㅁㅜㄴᴥ
의미,ㅇㅢᴥㅁㅣᴥ
의사,ㅇㅢᴥㅅㅏᴥ
의상,ㅇㅢᴥㅅㅏㅇᴥ
의식,ㅇㅢᴥㅅㅣㄱᴥ
의지하여,ㅇㅢᴥㅈㅣᴥㅎㅏᴥㅇㅕᴥ
의해,ㅇㅢᴥㅎㅐᴥ
의해되다,ㅇㅢᴥㅎㅐᴥㄷㅚᴥㄷㅏᴥ
의해서,ㅇㅢᴥㅎㅐᴥㅅㅓᴥ
이,ㅇㅣᴥ
이곳,ㅇㅣᴥㄱㅗㅅᴥ
이동,ㅇㅣᴥㄷㅗㅇᴥ
이동한,ㅇㅣᴥㄷㅗㅇᴥㅎㅏㄴᴥ
이래,ㅇㅣᴥㄹㅐᴥ
이러한,ㅇㅣᴥㄹㅓᴥㅎㅏㄴᴥ
이런,ㅇㅣᴥㄹㅓㄴᴥ
이럴정도,ㅇㅣᴥㄹㅓㄹᴥㅈㅓㅇᴥㄷㅗᴥ
이론,ㅇㅣᴥㄹㅗㄴᴥ
이르기까지,ㅇㅣᴥㄹㅡᴥㄱㅣᴥㄲㅏᴥㅈㅣᴥ
이름,ㅇㅣᴥㄹㅡㅁᴥ
이리,ㅇㅣᴥㄹㅣᴥ
이리저리,ㅇㅣᴥㄹㅣᴥㅈㅓᴥㄹㅣᴥ
이리하여,ㅇㅣᴥㄹㅣᴥㅎㅏᴥㅇㅕᴥ
이모,ㅇㅣᴥㅁㅗᴥ
이모부,ㅇㅣᴥㅁㅗᴥㅂㅜᴥ
이미,ㅇㅣᴥㅁㅣᴥ
이미지,ㅇㅣᴥㅁㅣᴥㅈㅣᴥ
이번,ㅇㅣᴥㅂㅓㄴᴥ
이봐,ㅇㅣᴥㅂㅘᴥ
이사,ㅇㅣᴥㅅㅏᴥ
이상,ㅇㅣᴥㅅㅏㅇᴥ
이야기,ㅇㅣᴥㅇㅑᴥㄱㅣᴥ
이어서,ㅇㅣᴥㅇㅓᴥㅅㅓᴥ
이었다,ㅇㅣᴥㅇㅓㅆᴥㄷㅏᴥ
이와,ㅇㅣᴥㅇㅘᴥ
이외,ㅇㅣᴥㅇㅚᴥ
이외에도,ㅇㅣᴥㅇㅚᴥㅇㅔᴥㄷㅗᴥ
이용,ㅇㅣᴥㅇㅛㅇᴥ
이용하여,ㅇㅣᴥㅇㅛㅇᴥㅎㅏᴥㅇㅕᴥ
이웃,ㅇㅣᴥㅇㅜㅅᴥ
이유,ㅇㅣᴥㅇㅠᴥ
이익,ㅇㅣᴥㅇㅣㄱᴥ
이전,ㅇㅣᴥㅈㅓㄴᴥ
이제,ㅇㅣᴥㅈㅔᴥ
이젠,ㅇㅣᴥㅈㅔㄴᴥ
이중,ㅇㅣᴥㅈㅜㅇᴥ
이지만,ㅇㅣᴥㅈㅣᴥㅁㅏㄴᴥ
이천,ㅇㅣᴥㅊㅓㄴᴥ
이천이십,ㅇㅣᴥㅊㅓㄴᴥㅇㅣᴥㅅㅣㅂᴥ
이투,ㅇㅣᴥㅌㅜᴥ
이틀,ㅇㅣᴥㅌㅡㄹᴥ
이하,ㅇㅣᴥㅎㅏᴥ
이해,ㅇㅣᴥㅎㅐᴥ
이혼,ㅇㅣᴥㅎㅗㄴᴥ
이후,ㅇㅣᴥㅎㅜᴥ
인,ㅇㅣㄴᴥ
인도,ㅇㅣㄴᴥㄷㅗᴥ
인듯하다,ㅇㅣㄴᴥㄷㅡㅅᴥㅎㅏᴥㄷㅏᴥ
인력,ㅇㅣㄴᴥㄹㅕㄱᴥ
인물,ㅇㅣㄴᴥㅁㅜㄹᴥ
인서,ㅇㅣㄴᴥㅅㅓᴥ
인수,ㅇㅣㄴᴥㅅㅜᴥ
인용,ㅇㅣㄴᴥㅇㅛㅇᴥ
인원,ㅇㅣㄴᴥㅇㅝㄴᴥ
인자,ㅇㅣㄴᴥㅈㅏᴥ
인접,ㅇㅣㄴᴥㅈㅓㅂᴥ
인젠,ㅇㅣㄴᴥㅈㅔㄴᴥ
인증,ㅇㅣㄴᴥㅈㅡㅇᴥ
일,ㅇㅣㄹᴥ
일것이다,ㅇㅣㄹᴥㄱㅓㅅᴥㅇㅣᴥㄷㅏᴥ
일곱,ㅇㅣㄹᴥㄱㅗㅂᴥ
일당,ㅇㅣㄹᴥㄷㅏㅇᴥ
일때,ㅇㅣㄹᴥㄸㅐᴥ
일반,ㅇㅣㄹᴥㅂㅏㄴᴥ
일보,ㅇㅣㄹᴥㅂㅗᴥ
일부,ㅇㅣㄹᴥㅂㅜᴥ
일부분,ㅇㅣㄹᴥㅂㅜᴥㅂㅜㄴᴥ
일상,ㅇㅣㄹᴥㅅㅏㅇᴥ
일수,ㅇㅣㄹᴥㅅㅜᴥ
일시,ㅇㅣㄹᴥㅅㅣᴥ
일자,ㅇㅣㄹᴥㅈㅏᴥ
일정,ㅇㅣㄹᴥㅈㅓㅇᴥ
일조,ㅇㅣㄹᴥㅈㅗᴥ
일주일,ㅇㅣㄹᴥㅈㅜᴥㅇㅣㄹᴥ
일지라도,ㅇㅣㄹᴥㅈㅣᴥㄹㅏᴥㄷㅗᴥ
일찍이,ㅇㅣㄹᴥㅉㅣㄱᴥㅇㅣᴥ
일치,ㅇㅣㄹᴥㅊㅣᴥ
임,ㅇㅣㅁᴥ
임무,ㅇㅣㅁᴥㅁㅜᴥ
임원,ㅇㅣㅁᴥㅇㅝㄴᴥ
임의,ㅇㅣㅁᴥㅇㅢᴥ
임직원,ㅇㅣㅁᴥㅈㅣㄱᴥㅇㅝㄴᴥ
임포,ㅇㅣㅁᴥㅍㅗᴥ
입각하여,ㅇㅣㅂᴥㄱㅏㄱᴥㅎㅏᴥㅇㅕᴥ
입력,ㅇㅣㅂᴥㄹㅕㄱᴥ
입장,ㅇㅣㅂᴥㅈㅏㅇᴥ
입장에서,ㅇㅣㅂᴥㅈㅏㅇᴥㅇㅔᴥㅅㅓᴥ
입출력,ㅇㅣㅂᴥㅊㅜㄹᴥㄹㅕㄱᴥ
잇따라,ㅇㅣㅅᴥㄸㅏᴥㄹㅏᴥ
있다,ㅇㅣㅆᴥㄷㅏᴥ
자,ㅈㅏᴥ
자기,ㅈㅏᴥㄱㅣᴥ
자동,ㅈㅏᴥㄷㅗㅇᴥ
자동예상,ㅈㅏᴥㄷㅗㅇᴥㅇㅖᴥㅅㅏㅇᴥ
자료,ㅈㅏᴥㄹㅛᴥ
자리,ㅈㅏᴥㄹㅣᴥ
자마자,ㅈㅏᴥㅁㅏᴥㅈㅏᴥ
자면,ㅈㅏᴥㅁㅕㄴᴥ
자손,ㅈㅏᴥㅅㅗㄴᴥ
자식,ㅈㅏᴥㅅㅣㄱᴥ
자신,ㅈㅏᴥㅅㅣㄴᴥ
자연,ㅈㅏᴥㅇㅕㄴᴥ
자연수,ㅈㅏᴥㅇㅕㄴᴥㅅㅜᴥ
자유,ㅈㅏᴥㅇㅠᴥ
자체,ㅈㅏᴥㅊㅔᴥ
자판기,ㅈㅏᴥㅍㅏㄴᴥㄱㅣᴥ
작가,ㅈㅏㄱᴥㄱㅏᴥ
작동,ㅈㅏㄱᴥㄷㅗㅇᴥ
작성,ㅈㅏㄱᴥㅅㅓㅇᴥ
작업,ㅈㅏㄱᴥㅇㅓㅂᴥ
작용,ㅈㅏㄱᴥㅇㅛㅇᴥ
작은형,ㅈㅏㄱᴥㅇㅡㄴᴥㅎㅕㅇᴥ
작음,ㅈㅏㄱᴥㅇㅡㅁᴥ
작품,ㅈㅏㄱᴥㅍㅜㅁᴥ
잘,ㅈㅏㄹᴥ
잠깐,ㅈㅏㅁᴥㄲㅏㄴᴥ
잠시,ㅈㅏㅁᴥㅅㅣᴥ
장,ㅈㅏㅇᴥ
장기,ㅈㅏㅇᴥㄱㅣᴥ
장난,ㅈㅏㅇᴥㄴㅏㄴᴥ
장남,ㅈㅏㅇᴥㄴㅏㅁᴥ
장녀,ㅈㅏㅇᴥㄴㅕᴥ
장비,ㅈㅏㅇᴥㅂㅣᴥ
장소,ㅈㅏㅇᴥㅅㅗᴥ
장애,ㅈㅏㅇᴥㅇㅐᴥ
장애물,ㅈㅏㅇᴥㅇㅐᴥㅁㅜㄹᴥ
장점,ㅈㅏㅇᴥㅈㅓㅁᴥ
장치,ㅈㅏㅇᴥㅊㅣᴥ
재량,ㅈㅐᴥㄹㅑㅇᴥ
재미,ㅈㅐᴥㅁㅣᴥ
저,ㅈㅓᴥ
저것,ㅈㅓᴥㄱㅓㅅᴥ
저것만큼,ㅈㅓᴥㄱㅓㅅᴥㅁㅏㄴᴥㅋㅡㅁᴥ
저기,ㅈㅓᴥㄱㅣᴥ
저녁,ㅈㅓᴥㄴㅕㄱᴥ
저리,ㅈㅓᴥㄹㅣᴥ
저자,ㅈㅓᴥㅈㅏᴥ
저작,ㅈㅓᴥㅈㅏㄱᴥ
저장,ㅈㅓᴥㅈㅏㅇᴥ
저쪽,ㅈㅓᴥㅉㅗㄱᴥ
저해,ㅈㅓᴥㅎㅐᴥ
저희,ㅈㅓᴥㅎㅢᴥ
적,ㅈㅓㄱᴥ
적용,ㅈㅓㄱᴥㅇㅛㅇᴥ
전,ㅈㅓㄴᴥ
전개,ㅈㅓㄴᴥㄱㅐᴥ
전달,ㅈㅓㄴᴥㄷㅏㄹᴥ
전략,ㅈㅓㄴᴥㄹㅑㄱᴥ
전문가,ㅈㅓㄴᴥㅁㅜㄴᴥㄱㅏᴥ
전문점,ㅈㅓㄴᴥㅁㅜㄴᴥㅈㅓㅁᴥ
전방,ㅈㅓㄴᴥㅂㅏㅇᴥ
전부,ㅈㅓㄴᴥㅂㅜᴥ
전자,ㅈㅓㄴᴥㅈㅏᴥ
전체,ㅈㅓㄴᴥㅊㅔᴥ
전형,ㅈㅓㄴᴥㅎㅕㅇᴥ
전후,ㅈㅓㄴᴥㅎㅜᴥ
절대,ㅈㅓㄹᴥㄷㅐᴥ
절반,ㅈㅓㄹᴥㅂㅏㄴᴥ
절차,ㅈㅓㄹᴥㅊㅏᴥ
점,ㅈㅓㅁᴥ
점에서,ㅈㅓㅁᴥㅇㅔᴥㅅㅓᴥ
점진,ㅈㅓㅁᴥㅈㅣㄴᴥ
접근,ㅈㅓㅂᴥㄱㅡㄴᴥ
접속,ㅈㅓㅂᴥㅅㅗㄱᴥ
접시,ㅈㅓㅂᴥㅅㅣᴥ
정녕,ㅈㅓㅇᴥㄴㅕㅇᴥ
정도,ㅈㅓㅇᴥㄷㅗᴥ
정렬,ㅈㅓㅇᴥㄹㅕㄹᴥ
정리,ㅈㅓㅇᴥㄹㅣᴥ
정립,ㅈㅓㅇᴥㄹㅣㅂᴥ
정말,ㅈㅓㅇᴥㅁㅏㄹᴥ
정보,ㅈㅓㅇᴥㅂㅗᴥ
정부,ㅈㅓㅇᴥㅂㅜᴥ
정상,ㅈㅓㅇᴥㅅㅏㅇᴥ
정수,ㅈㅓㅇᴥㅅㅜᴥ
정신,ㅈㅓㅇᴥㅅㅣㄴᴥ
정오,ㅈㅓㅇᴥㅇㅗᴥ
정의,ㅈㅓㅇᴥㅇㅢᴥ
정책,ㅈㅓㅇᴥㅊㅐㄱᴥ
정확,ㅈㅓㅇᴥㅎㅘㄱᴥ
제,ㅈㅔᴥ
제각기,ㅈㅔᴥㄱㅏㄱᴥㄱㅣᴥ
제거,ㅈㅔᴥㄱㅓᴥ
제공,ㅈㅔᴥㄱㅗㅇᴥ
제목,ㅈㅔᴥㅁㅗㄱᴥ
제발,ㅈㅔᴥㅂㅏㄹᴥ
제외,ㅈㅔᴥㅇㅚᴥ
제외하고,ㅈㅔᴥㅇㅚᴥㅎㅏᴥㄱㅗᴥ
제작,ㅈㅔᴥㅈㅏㄱᴥ
제조,ㅈㅔᴥㅈㅗᴥ
제품,ㅈㅔᴥㅍㅜㅁᴥ
제휴,ㅈㅔᴥㅎㅠᴥ
조,ㅈㅗᴥ
조각,ㅈㅗᴥㄱㅏㄱᴥ
조건,ㅈㅗᴥㄱㅓㄴᴥ
조금,ㅈㅗᴥㄱㅡㅁᴥ
조립,ㅈㅗᴥㄹㅣㅂᴥ
조사,ㅈㅗᴥㅅㅏᴥ
조절,ㅈㅗᴥㅈㅓㄹᴥ
조정,ㅈㅗᴥㅈㅓㅇᴥ
조직,ㅈㅗᴥㅈㅣㄱᴥ
조차,ㅈㅗᴥㅊㅏᴥ
조차도,ㅈㅗᴥㅊㅏᴥㄷㅗᴥ
존재,ㅈㅗㄴᴥㅈㅐᴥ
졸졸,ㅈㅗㄹᴥㅈㅗㄹᴥ
좀,ㅈㅗㅁᴥ
종,ㅈㅗㅇᴥ
종료,ㅈㅗㅇᴥㄹㅛᴥ
종류,ㅈㅗㅇᴥㄹㅠᴥ
종일,ㅈㅗㅇᴥㅇㅣㄹᴥ
종착점,ㅈㅗㅇᴥㅊㅏㄱᴥㅈㅓㅁᴥ
종합,ㅈㅗㅇᴥㅎㅏㅂᴥ
좋,ㅈㅗㅎᴥ
좌,ㅈㅘᴥ
좍좍,ㅈㅘㄱᴥㅈㅘㄱᴥ
주,ㅈㅜᴥ
주관,ㅈㅜᴥㄱㅘㄴᴥ
주기,ㅈㅜᴥㄱㅣᴥ
주룩주룩,ㅈㅜᴥㄹㅜㄱᴥㅈㅜᴥㄹㅜㄱᴥ
주류,ㅈㅜᴥㄹㅠᴥ
주목,ㅈㅜᴥㅁㅗㄱᴥ
주문,ㅈㅜᴥㅁㅜㄴᴥ
주방,ㅈㅜᴥㅂㅏㅇᴥ
주변,ㅈㅜᴥㅂㅕㄴᴥ
주소,ㅈㅜᴥㅅㅗᴥ
주요,ㅈㅜᴥㅇㅛᴥ
주요한,ㅈㅜᴥㅇㅛᴥㅎㅏㄴᴥ
주의,ㅈㅜᴥㅇㅢᴥ
주의자,ㅈㅜᴥㅇㅢᴥㅈㅏᴥ
주인,ㅈㅜᴥㅇㅣㄴᴥ
주저하지,ㅈㅜᴥㅈㅓᴥㅎㅏᴥㅈㅣᴥ
주제,ㅈㅜᴥㅈㅔᴥ
주차,ㅈㅜᴥㅊㅏᴥ
죽,ㅈㅜㄱᴥ
준비,ㅈㅜㄴᴥㅂㅣᴥ
준시,ㅈㅜㄴᴥㅅㅣᴥ
줄,ㅈㅜㄹᴥ
줄은,ㅈㅜㄹᴥㅇㅡㄴᴥ
줄은모른다,ㅈㅜㄹᴥㅇㅡㄴᴥㅁㅗᴥㄹㅡㄴᴥㄷㅏᴥ
중,ㅈㅜㅇᴥ
중간,ㅈㅜㅇᴥㄱㅏㄴᴥ
중대,ㅈㅜㅇᴥㄷㅐᴥ
중독,ㅈㅜㅇᴥㄷㅗㄱᴥ
중략,ㅈㅜㅇᴥㄹㅑㄱᴥ
중반,ㅈㅜㅇᴥㅂㅏㄴᴥ
중복,ㅈㅜㅇᴥㅂㅗㄱᴥ
중소,ㅈㅜㅇᴥㅅㅗᴥ
중심,ㅈㅜㅇᴥㅅㅣㅁᴥ
중에서,ㅈㅜㅇᴥㅇㅔᴥㅅㅓᴥ
중요,ㅈㅜㅇᴥㅇㅛᴥ
중요한,ㅈㅜㅇᴥㅇㅛᴥㅎㅏㄴᴥ
중장기,ㅈㅜㅇᴥㅈㅏㅇᴥㄱㅣᴥ
중지,ㅈㅜㅇᴥㅈㅣᴥ
중학교,ㅈㅜㅇᴥㅎㅏㄱᴥㄱㅛᴥ
중학생,ㅈㅜㅇᴥㅎㅏㄱᴥㅅㅐㅇᴥ
즈,ㅈㅡᴥ
즈음하여,ㅈㅡᴥㅇㅡㅁᴥㅎㅏᴥㅇㅕᴥ
즉,ㅈㅡㄱᴥ
즉시,ㅈㅡㄱᴥㅅㅣᴥ
증가,ㅈㅡㅇᴥㄱㅏᴥ
지,ㅈㅣᴥ
지금,ㅈㅣᴥㄱㅡㅁᴥ
지든지,ㅈㅣᴥㄷㅡㄴᴥㅈㅣᴥ
지만,ㅈㅣᴥㅁㅏㄴᴥ
지말고,ㅈㅣᴥㅁㅏㄹᴥㄱㅗᴥ
지방,ㅈㅣᴥㅂㅏㅇᴥ
지속,ㅈㅣᴥㅅㅗㄱᴥ
지수,ㅈㅣᴥㅅㅜᴥ
지시,ㅈㅣᴥㅅㅣᴥ
지식,ㅈㅣᴥㅅㅣㄱᴥ
지역,ㅈㅣᴥㅇㅕㄱᴥ
지원,ㅈㅣᴥㅇㅝㄴᴥ
지음,ㅈㅣᴥㅇㅡㅁᴥ
지점,ㅈㅣᴥㅈㅓㅁᴥ
지정,ㅈㅣᴥㅈㅓㅇᴥ
지침,ㅈㅣᴥㅊㅣㅁᴥ
지탱,ㅈㅣᴥㅌㅐㅇᴥ
지하철,ㅈㅣᴥㅎㅏᴥㅊㅓㄹᴥ
지향,ㅈㅣᴥㅎㅑㅇᴥ
직시,ㅈㅣㄱᴥㅅㅣᴥ
직원,ㅈㅣㄱᴥㅇㅝㄴᴥ
직접,ㅈㅣㄱᴥㅈㅓㅂᴥ
진수,ㅈㅣㄴᴥㅅㅜᴥ
진실,ㅈㅣㄴᴥㅅㅣㄹᴥ
진실로,ㅈㅣㄴᴥㅅㅣㄹᴥㄹㅗᴥ
진짜,ㅈㅣㄴᴥㅉㅏᴥ
진짜로,ㅈㅣㄴᴥㅉㅏᴥㄹㅗᴥ
진행,ㅈㅣㄴᴥㅎㅐㅇᴥ
질문,ㅈㅣㄹᴥㅁㅜㄴᴥ
질의,ㅈㅣㄹᴥㅇㅢᴥ
짐,ㅈㅣㅁᴥ
집,ㅈㅣㅂᴥ
집단,ㅈㅣㅂᴥㄷㅏㄴᴥ
집중,ㅈㅣㅂᴥㅈㅜㅇᴥ
집행,ㅈㅣㅂᴥㅎㅐㅇᴥ
쪽으로,ㅉㅗㄱᴥㅇㅡᴥㄹㅗᴥ
차,ㅊㅏᴥ
차라리,ㅊㅏᴥㄹㅏᴥㄹㅣᴥ
차례,ㅊㅏᴥㄹㅖᴥ
차별,ㅊㅏᴥㅂㅕㄹᴥ
차원,ㅊㅏᴥㅇㅝㄴᴥ
차이,ㅊㅏᴥㅇㅣᴥ
차이점,ㅊㅏᴥㅇㅣᴥㅈㅓㅁᴥ
차지,ㅊㅏᴥㅈㅣᴥ
찰나,ㅊㅏㄹᴥㄴㅏᴥ
참,ㅊㅏㅁᴥ
참고,ㅊㅏㅁᴥㄱㅗᴥ
참인,ㅊㅏㅁᴥㅇㅣㄴᴥ
참조,ㅊㅏㅁᴥㅈㅗᴥ
창,ㅊㅏㅇᴥ
창작,ㅊㅏㅇᴥㅈㅏㄱᴥ
책,ㅊㅐㄱᴥ
책임,ㅊㅐㄱᴥㅇㅣㅁᴥ
챕터,ㅊㅐㅂᴥㅌㅓᴥ
처,ㅊㅓᴥ
처남,ㅊㅓᴥㄴㅏㅁᴥ
처리,ㅊㅓᴥㄹㅣᴥ
